x,l,P_forward,P_backward
0.99,38,-2.42168962593969361e-02,1.77529076892418813e-01
0.99,39,2.39846050827606135e-02,1.80515154136635603e-01
0.99,40,7.05073729409797095e-02,1.79861405155548409e-01
0.99,41,1.14502488605530209e-01,1.75670241803853738e-01
0.99,42,1.55187314241339275e-01,1.68107289467742255e-01
0.99,43,1.91858324929684521e-01,1.57397168673224508e-01
0.99,44,2.23902341223094048e-01,1.43818288425270668e-01
0.99,45,2.50805977516904366e-01,1.27696754922860506e-01
0.99,46,2.72163155640406107e-01,1.09399514605724377e-01
0.99,47,2.87680569660310359e-01,8.93268634744140838e-02
0.99,48,2.97181026280272931e-01,6.79044650687416623e-02
0.99,49,3.00604624693871669e-01,4.55750272199875114e-02
0.99,50,2.98007779570259812e-01,2.27897925892526811e-02
